event_day,symbol,strike,expiration,call_put,price,size,size_count,total_size,millionD
171026,AAOI  ,65.000,190118,P,32.62,3,65,195,0.636
171011,AAPL  ,120.000,190118,C,41.14,4,64,256,1.053
171101,AAPL  ,240.000,200117,P,76.78,10,22,220,1.689
171101,AAPL  ,140.000,200117,C,40.01,10,24,240,0.960
171103,AAPL  ,240.000,200117,P,72.32,5,34,170,1.229
171127,AAPL  ,120.000,190118,C,56.25,4,39,156,0.878
171208,AAPL  ,130.000,190118,C,44.39,10,55,550,2.441
171011,ABBV  ,75.000,180119,C,16.80,11,32,352,0.591
171025,AGN   ,340.000,190118,P,159.87,5,23,115,1.838
171222,AGN   ,300.000,190118,P,135.38,5,38,190,2.572
171222,AGN   ,290.000,190118,P,125.23,5,35,175,2.192
171002,AJRD  ,30.000,180216,C,6.58,5,51,255,0.168
171002,AJRD  ,30.000,180216,C,6.56,10,24,240,0.157
171002,AJRD  ,30.000,180216,C,6.66,4,36,144,0.096
171003,AJRD  ,30.000,180216,C,6.30,10,21,210,0.132
171003,AJRD  ,30.000,180216,C,6.21,5,20,100,0.062
171017,AKS   ,5.000,190118,C,1.59,50,43,2150,0.342
171128,AMC   ,15.000,180615,P,3.38,10,29,290,0.098
171023,AMD   ,5.000,200117,C,9.73,20,43,860,0.837
171023,AMD   ,2.000,190118,C,12.21,20,28,560,0.684
171114,AMD   ,13.000,180420,P,2.67,10,31,310,0.083
171127,AMD   ,14.000,180420,P,2.97,15,29,435,0.129
171213,AMD   ,10.000,200117,P,2.45,10,32,320,0.079
171226,AMD   ,13.000,180420,P,2.88,10,22,220,0.063
171025,AMGN  ,240.000,190118,P,66.00,5,73,365,2.409
171207,AMGN  ,220.000,180921,P,46.95,5,34,170,0.798
171106,AMRN  ,4.000,190118,C,1.19,10,20,200,0.024
171219,AMRN  ,3.000,190118,C,1.51,2,81,162,0.024
171227,AMRN  ,3.000,190118,C,1.82,3,34,102,0.019
171229,AMRN  ,3.000,190118,C,1.87,3,43,129,0.024
171010,AMZN  ,700.000,180615,C,301.47,1,114,114,3.437
171019,APRN  ,7.000,200117,C,1.71,10,25,250,0.043
171020,APRN  ,7.000,200117,C,1.72,10,27,270,0.046
171023,APRN  ,7.000,200117,C,1.68,10,34,340,0.057
171026,APRN  ,7.000,200117,C,1.71,10,21,210,0.036
171128,AXDX  ,30.000,180518,P,7.40,5,23,115,0.085
171009,BABA  ,230.000,180615,P,50.87,5,27,135,0.687
171212,BABA  ,150.000,180420,C,30.48,10,34,340,1.036
171213,BABA  ,140.000,200117,C,55.58,1,109,109,0.606
171213,BABA  ,135.000,200117,C,58.74,1,145,145,0.852
171213,BABA  ,135.000,200117,C,58.68,2,56,112,0.657
171226,BAC   ,25.000,190118,C,6.13,50,36,1800,1.103
171002,BBRY  ,10.000,190118,C,2.46,10,48,480,0.118
171023,BGFV  ,12.500,180420,P,5.65,9,30,270,0.152
171019,C     ,100.000,190621,P,28.96,10,70,700,2.027
171026,C     ,90.000,190621,P,19.54,10,27,270,0.528
171107,C     ,95.000,190118,P,23.52,10,30,300,0.705
171201,CAT   ,100.000,190118,C,42.87,10,29,290,1.243
171122,CBL   ,10.000,180316,P,4.32,50,68,3400,1.469
171122,CBL   ,10.000,180316,P,4.36,10,25,250,0.109
171122,CBL   ,10.000,180316,P,4.35,5,40,200,0.087
171122,CBL   ,10.000,180316,P,4.34,3,47,141,0.061
171122,CBL   ,10.000,180316,P,4.34,4,30,120,0.052
171122,CBL   ,10.000,180316,P,4.34,2,57,114,0.049
171106,CHK   ,4.000,190118,P,0.95,10,31,310,0.029
171211,CIT   ,45.000,190118,C,9.10,2,107,214,0.195
171211,CIT   ,42.000,190118,C,11.65,2,66,132,0.154
171106,CRM   ,87.500,180615,C,18.34,20,37,740,1.357
171106,CRM   ,87.500,180615,C,18.39,10,27,270,0.496
171106,CRM   ,87.500,180615,C,18.41,5,23,115,0.212
171018,CSCO  ,47.000,200117,P,14.64,10,79,790,1.156
171109,CTRP  ,40.000,190118,C,9.56,100,39,3900,3.728
171109,CTRP  ,40.000,190118,C,9.56,1,107,107,0.102
171120,CYH   ,3.000,200117,P,1.20,5,20,100,0.012
171116,DDD   ,17.000,190118,P,9.19,10,29,290,0.267
171116,DDD   ,17.000,190118,P,9.18,7,26,182,0.167
171128,DDD   ,17.000,190118,P,8.58,10,27,270,0.232
171129,DDD   ,18.000,180518,P,9.12,15,26,390,0.356
171019,DO    ,20.000,180316,P,5.55,10,24,240,0.133
171101,EGO   ,1.000,180420,C,0.35,4,34,136,0.005
171101,EGO   ,1.000,180420,C,0.35,5,20,100,0.004
171031,ESRX  ,75.000,190118,P,15.13,25,43,1075,1.627
171024,FCAU  ,15.000,190118,C,4.01,10,52,520,0.208
171220,FOSL  ,13.000,190118,P,6.69,10,22,220,0.147
171221,FOSL  ,13.000,190118,P,6.25,10,20,200,0.125
171108,FRTA  ,7.500,180316,C,1.60,10,22,220,0.035
171013,FTR   ,18.000,180518,P,8.20,10,27,270,0.221
171204,FXI   ,55.000,190118,P,11.39,10,33,330,0.376
171219,FXI   ,75.000,200117,P,30.77,10,29,290,0.892
171117,GILD  ,55.000,200117,C,20.67,10,21,210,0.434
171117,GILD  ,55.000,200117,C,20.68,1,137,137,0.283
171117,GILD  ,55.000,200117,C,20.67,2,68,136,0.281
171117,GILD  ,55.000,200117,C,20.69,3,34,102,0.211
171117,GILD  ,55.000,200117,C,20.71,5,20,100,0.207
171208,GME   ,25.000,180720,P,7.09,10,34,340,0.241
171208,GME   ,25.000,180720,P,7.04,7,26,182,0.128
171211,GME   ,25.000,180720,P,7.33,10,52,520,0.381
171211,GME   ,25.000,180720,P,7.30,7,67,469,0.342
171212,GME   ,25.000,180720,P,7.16,7,65,455,0.326
171212,GME   ,25.000,180720,P,7.19,10,28,280,0.201
171218,GME   ,25.000,180720,P,7.44,10,40,400,0.298
171218,GME   ,25.000,180720,P,7.43,7,24,168,0.125
171206,GNC   ,7.500,180316,P,2.87,10,20,200,0.057
171016,GPRO  ,16.000,180420,P,6.89,10,21,210,0.145
171019,GPRO  ,16.000,180420,P,7.07,10,20,200,0.141
171102,GPRO  ,12.000,200117,P,5.18,5,33,165,0.085
171102,GPRO  ,11.000,180420,P,2.75,10,31,310,0.085
171019,HD    ,220.000,190118,P,57.54,1,182,182,1.047
171019,HD    ,220.000,190118,P,57.48,2,65,130,0.747
171025,HD    ,110.000,200117,C,57.59,1,178,178,1.025
171030,HD    ,110.000,200117,C,57.46,1,116,116,0.667
171205,HIMX  ,12.000,190118,P,2.80,5,31,155,0.043
