ACU, 20160701, Capital Goods

ALJJ, 20141231, Miscellaneous

ALLT, 20090604, Technology

ALLT, 20100111, Technology

ALLT, 20100406, Technology

ALLT, 20100426, Technology

ALLT, 20101129, Technology

ALLT, 20101206, Technology

ALLT, 20110110, Technology

AMRB, 20120330, Finance

AMRB, 20140102, Finance

AMWD, 20121017, Basic Industries

AMWD, 20121106, Basic Industries

ANCX, 20120201, Finance

ANCX, 20130122, Finance

ANCX, 20130308, Finance

ANCX, 20160915, Finance

ASTC, 20090929, Capital Goods

ASTC, 20160309, Capital Goods

ATAI, 20110511, Consumer Services

ATAI, 20110601, Consumer Services

ATAI, 20150615, Consumer Services

ATAI, 20150625, Consumer Services

ATTU, 20130919, Technology

AVNW, 20161123, Technology

BBGI, 20090109, Consumer Services

BBGI, 20130311, Consumer Services

BBGI, 20130320, Consumer Services

BBGI, 20130618, Consumer Services

BBGI, 20130711, Consumer Services

BBGI, 20170327, Consumer Services

BLX, 20120223, Finance

BRN, 20110112, Energy

BRT, 20160831, Consumer Services

BRT, 20170117, Consumer Services

CHCI, 20090917, Capital Goods

CHCI, 20100414, Capital Goods

CHCI, 20120313, Capital Goods

CIGI, 20100329, Finance

CIGI, 20130403, Finance

CLAR, 20161104, Consumer Non-Durables

CLCT, 20091102, Miscellaneous

CLCT, 20091109, Miscellaneous

CLCT, 20130805, Miscellaneous

CLCT, 20170203, Miscellaneous

CLFD, 20090915, Public Utilities

CLFD, 20101217, Public Utilities

CLFD, 20110728, Public Utilities

CLFD, 20130606, Public Utilities

CNBKA, 20090626, Finance

CNBKA, 20090819, Finance

CNTY, 20110318, Consumer Services

CNTY, 20110407, Consumer Services

CNTY, 20130515, Consumer Services

CNTY, 20130603, Consumer Services

CNTY, 20130814, Consumer Services

CNTY, 20140319, Consumer Services

CNTY, 20150605, Consumer Services

CPSS, 20121005, Finance

CPSS, 20130205, Finance

CRVL, 20101230, Finance

CRWS, 20120327, Basic Industries

CRWS, 20120413, Basic Industries

CRWS, 20160328, Basic Industries

CRWS, 20160715, Basic Industries

CUBN, 20160324, Finance

CVGI, 20131023, Capital Goods

CWAY, 20170301, Finance

CWAY, 20170410, Finance

DGAS, 20091109, Public Utilities

DGAS, 20120426, Public Utilities

DGAS, 20160128, Public Utilities

DGLY, 20130829, Technology

DPW, 20101103, Capital Goods

DSWL, 20170615, Consumer Non-Durables

DSWL, 20170703, Consumer Non-Durables

DSWL, 20170815, Consumer Non-Durables

DWCH, 20120911, Technology

DWCH, 20170725, Technology

DZSI, 20090826, Public Utilities

DZSI, 20170724, Public Utilities

EBMT, 20161114, Finance

EBTC, 20121004, Finance

EBTC, 20141030, Finance

DXYN, 20130425, Consumer Durables

DXYN, 20130501, Consumer Durables

DXYN, 20130607, Consumer Durables

DXYN, 20131030, Consumer Durables

EDUC, 20151008, Consumer Durables

EGAN, 20130307, Technology

EGAN, 20130628, Technology

EGAN, 20171006, Technology

EQS, 20170428, n/a

FEIM, 20110111, Capital Goods

FEIM, 20110310, Capital Goods

FEIM, 20130625, Capital Goods

FELP, 20161109, Energy

FLWS, 20120622, Consumer Services

FORD, 20100405, Consumer Non-Durables

FORD, 20100503, Consumer Non-Durables

FTEK, 20110103, Capital Goods

GBLI, 20100324, Finance

GENC, 20120702, Capital Goods

GENC, 20131203, Capital Goods

GENC, 20161202, Capital Goods

GILT, 20100414, Technology

GILT, 20121112, Technology

GILT, 20161206, Technology

GSB, 20140128, Technology

GSB, 20150324, Technology

GSB, 20170630, Technology

GNUS, 20160527, Consumer Services

GNUS, 20160616, Consumer Services

GTY, 20160729, Finance

GV, 20120614, Basic Industries

HCI, 20120309, Finance

HCKT, 20100818, Consumer Services

HCKT, 20130807, Consumer Services

HCKT, 20151111, Consumer Services

HPJ, 20131029, Miscellaneous

HPJ, 20170328, Miscellaneous

HPJ, 20170410, Miscellaneous

ICBK, 20161208, Finance

IFON, 20140122, Consumer Non-Durables

III, 20130812, Consumer Services

III, 20140210, Consumer Services

IMH, 20120815, Consumer Services

INSE, 20170519, Technology

ISIG, 20091209, Consumer Services

ISIG, 20100429, Consumer Services

ISIG, 20140320, Consumer Services

ISSC, 20170612, Technology

ITRN, 20090929, Consumer Non-Durables

ITRN, 20091012, Consumer Non-Durables

ITRN, 20100111, Consumer Non-Durables

ITRN, 20130717, Consumer Non-Durables
